,Borough,Neighborhoods,Population,Longitude,Latitude
0,Western District (Downtown),Ahlon,41200,96.127778,16.783056
1,Western District (Downtown),Bahan,81000,96.152222,16.808056
2,Western District (Downtown),Dagon,25082,96.149722,16.780833
3,Western District (Downtown),Kyauktada,37000,96.158756,16.774422
4,Western District (Downtown),Kyimyindaing,73200,96.124167,16.803056
5,Western District (Downtown),Lanmadaw,47160,96.149722,16.780833
6,Western District (Downtown),Seikkan,1250,96.15,16.766667
7,Western District (Downtown),Latha,27500,96.149722,16.780833
8,Western District (Downtown),Pabedan,40000,96.155556,16.780278
9,Western District (Downtown),Sanchaung,65300,96.135,16.806389
10,Eastern District,Dagon Seikkan,93823,96.282778,16.856667
11,Eastern District,East Dagon,71000,96.283333,16.883333
12,Eastern District,North Dagon,81000,96.166667,16.883333
13,Eastern District,North Okkalapa,243000,96.1,16.816667
14,Eastern District,South Dagon,185000,96.233333,16.85
15,Eastern District,South Okkalapa,193354,96.179444,16.846111
16,Eastern District,Thingangyun,170000,96.184167,16.828056
17,Southern District,Dala,150000,96.158333,16.758333
18,Southern District,Dawbon,70000,96.183333,16.666667
19,Southern District,Botataung,42000,96.151389,16.7675
20,Southern District,Mingala Taungnyunt,98000,96.166667,16.783333
21,Southern District,Seikkyi Kanaungto,21000,96.116667,16.758333
22,Southern District,Tamwe,140000,96.166667,16.771111
23,Southern District,Pazundaung,31000,96.166667,16.783333
24,Southern District,Thaketa,322000,96.201667,16.794444
25,Southern District,Yankin,155000,96.162778,16.823611
26,Northern District,Insein,220000,96.098056,16.892778
27,Northern District,Hlaing,125000,96.133333,16.858333
28,Northern District,Hlaingthaya,700000,96.066667,16.85
29,Northern District,Kamayut,72700,96.133333,16.820833
30,Northern District,Mayangon,137000,96.1,16.816667
31,Northern District,Mingaladon,136000,96.133333,16.907222
32,Northern District,Shwepyitha,343270,96.078056,16.969444
